"STREAM_YR","STREAM","YEAR","SPECIES","FENCE","PEAK_COUNT","TAUC","GAUC","Method","fit_group"
"CATHEAD_1990","CATHEAD",1990,"PINK",7970.60441633,2648,95099.5,69885.8017905446,"GROUND",1
"CATHEAD_1990","CATHEAD",1990,"PINK",7970.60441633,2100,61625,57650.7526959547,"AIR",1
"CATHEAD_1991","CATHEAD",1991,"PINK",9630,4814,92361.5,84078.2011843335,"GROUND",1
"CATHEAD_1991","CATHEAD",1991,"PINK",9630,1500,28403.5,22785.287301883,"AIR",1
"CHENEGA_1991","CHENEGA",1991,"PINK",49769.013597,17782,436720,401537.823016344,"GROUND",1
"CHENEGA_1991","CHENEGA",1991,"PINK",49769.013597,7200,163725,142635.761096538,"AIR",1
"COLDSTREAM_2019","COLDSTREAM",2019,"KOKANEE",38269,13150,224318,213171.204822764,"GROUND",1
"COLDSTREAM_2020","COLDSTREAM",2020,"KOKANEE",10494.5,3932,80433,70950.7212623148,"GROUND",1
"COLDSTREAM_2021","COLDSTREAM",2021,"KOKANEE",13814,4423,93720.5,90443.117150879,"GROUND",1
"COLDSTREAM_2022","COLDSTREAM",2022,"KOKANEE",11117.5,3592,65955,64367.3573252319,"GROUND",1
"COUNTESS_1991","COUNTESS",1991,"PINK",15028,5494,116893,108522.911590173,"GROUND",1
"COUNTESS_1991","COUNTESS",1991,"PINK",15028,5400,69150,62126.7612732588,"AIR",1
"HAWKINS_1991","HAWKINS",1991,"PINK",40432.925312,21570.33333,577959.63332,476736.152388551,"GROUND",2
"HAWKINS_1991","HAWKINS",1991,"PINK",40432.925312,12000,236240,243272.738025106,"AIR",2
"HAYDEN_1991","HAYDEN",1991,"PINK",18372,4664,117733,104441.747310421,"GROUND",2
"HAYDEN_1991","HAYDEN",1991,"PINK",18372,5000,79602.5,72334.8690411133,"AIR",2
"HERRING_1990","HERRING",1990,"PINK",4927.43539462,2144,69215,57667.036255498,"GROUND",2
"HERRING_1990","HERRING",1990,"PINK",4927.43539462,2700,59575,52366.9761837951,"AIR",2
"HERRING_1991","HERRING",1991,"PINK",13022,9738,164077.5,152854.71108017,"GROUND",2
"HERRING_1991","HERRING",1991,"PINK",13022,4500,87950,75806.9518534088,"AIR",2
"IRISH_1990","IRISH",1990,"PINK",44900,18209,566099,445435.15295495,"GROUND",3
"IRISH_1990","IRISH",1990,"PINK",44900,24500,495260,481401.435310411,"AIR",3
"IRISH_1991","IRISH",1991,"PINK",95033.92906,30353,1022851.83332,846253.563694392,"GROUND",3
"IRISH_1991","IRISH",1991,"PINK",95033.92906,17000,397433,337481.077293542,"AIR",3
"LOOMIS_1991","LOOMIS",1991,"PINK",20315.348553,6864,130480,121572.940318491,"GROUND",3
"LOOMIS_1991","LOOMIS",1991,"PINK",20315.348553,3000,76120,63995.1642569571,"AIR",3
"MIDDLE_VERNON_2011","MIDDLE_VERNON",2011,"KOKANEE",7862,2365,38645,36202.3134202738,"GROUND",2
"MIDDLE_VERNON_2013","MIDDLE_VERNON",2013,"KOKANEE",2857,1245,23839,22322.1239214076,"GROUND",2
"MIDDLE_VERNON_2014","MIDDLE_VERNON",2014,"KOKANEE",8879,3210,56212.5,53599.5582001261,"GROUND",2
"MIDDLE_VERNON_2015","MIDDLE_VERNON",2015,"KOKANEE",21330,8922,125243.5,121879.980312677,"GROUND",2
"MIDDLE_VERNON_2016","MIDDLE_VERNON",2016,"KOKANEE",35945,13072,203027.5,191911.725472626,"GROUND",2
"MIDDLE_VERNON_2017","MIDDLE_VERNON",2017,"KOKANEE",33526,11200,153791,144948.098854108,"GROUND",2
"PENTICTON_2015","PENTICTON",2015,"KOKANEE",3022.00009997,963,19078.5,17541.6908901333,"GROUND",3
"PENTICTON_2018","PENTICTON",2018,"KOKANEE",5063,1381,25220,24327.7955904816,"GROUND",3
"PENTICTON_2019","PENTICTON",2019,"KOKANEE",6944,2074,30787,30667.995168252,"GROUND",3
"REDFISH_2020","REDFISH",2020,"KOKANEE",2670,1124,20300.5,17815.9436565675,"GROUND",3
